가맹점명,서울페이앱분류업종,자치구명,기본주소
비포그레이,음식점,마포구,서울특별시 마포구 토정로3길 16
주식회사 더케이마트,마트/슈퍼마켓,강동구,"서울 강동구 풍성로65길 58,"
러블리안성형외과의원,병원/약국,강남구,서울특별시 강남구 도산대로 134
헤어톡,뷰티/미용,도봉구,서울 도봉구 도봉로109길 65
네일헤븐,뷰티/미용,영등포구,서울특별시 영등포구 당산로28길 16
백암박가네순대국,음식점,종로구,서울 종로구 자하문로 33-1
미랑컬헤어,뷰티/미용,도봉구,서울  도봉구  창5동
빽다방 문정법조 현대점,제과점/커피,송파구,서울특별시 송파구 법원로11길 11
잡을손,음식점,마포구,서울특별시 마포구 월드컵로10길 15
와!밀밭곱창&곱도리탕,음식점,중랑구,서울특별시 중랑구 면목로33길 50
빽다방 합정역점,제과점/커피,마포구,서울특별시 마포구 월드컵로1길 14
우수연피아노음악학원,교육/서점,양천구,서울특별시 양천구 목동동로 130
빽다방 서울과기대점,음식점,노원구,서울특별시 노원구 공릉로 217
보물섬 김밥,음식점,마포구,"서울 마포구 월드컵로13길 50,"
지에스(GS)25 노량아카데미점,마트/슈퍼마켓,동작구,서울특별시 동작구 노량진로14가길 11
속초식당,음식점,용산구,"서울 용산구 후암로 82,"
제이플러스(J PLUS)수학 교습소,교육/서점,강남구,서울특별시 강남구 선릉로62길 32-1
기쁨이넘치는약국,병원/약국,중구,서울특별시 중구 다산로39길 17
롤링파스타 가로수길점,음식점,강남구,서울특별시 강남구 도산대로13길 16
이산통신,사무기기/PC,구로구,서울 구로구 구일로4길 33
오렌지약국,병원/약국,동작구,서울특별시 동작구 양녕로 268
이차돌 응암오거리점,음식점,은평구,서울특별시 은평구 불광천길 326
로뎀나무,음식점,동대문구,서울특별시 동대문구 답십리로23길 89
배쓰그만미술학원,교육/서점,도봉구,"서울 도봉구 도봉로136가길 73,"
창의놀이터 수학교습소,교육/서점,영등포구,서울특별시 영등포구 여의대방로35길 15
아티즌바이시클,레저/스포츠,서초구,서울특별시 서초구 동광로47길 6
김성자콜렉션,의류/직물,서초구,"서울 서초구 신반포로 194,"
네일은 봄이야,뷰티/미용,금천구,서울특별시 금천구 디지털로10길 69
올포유 종로 상설점,레저/스포츠,종로구,"서울 종로구 종로 244,"
CU 연대봉원점,마트/슈퍼마켓,서대문구,서울 서대문구 대신동 125-22
아이리스영어교습소,교육/서점,양천구,서울특별시 양천구 신목로6길 6-15
진달래 미술교습소,교육/서점,관악구,서울특별시 관악구 당곡2가길 6
아소비금천롯데캐슬1차점,교육/서점,금천구,"서울 금천구 벚꽃로 40,"
알파문구마포점,문구/완구,마포구,서울 마포구 공덕동 450
서울새린치과의원,병원/약국,종로구,서울특별시 종로구 종로 266
베라네일,뷰티/미용,광진구,서울특별시 광진구 아차산로 345
윤스맘케어 강남센타,컨설팅,강남구,서울특별시 강남구 강남대로 354
리메이의원,병원/약국,중구,서울특별시 중구 다산로 104
강남영도한의원,병원/약국,강남구,서울  강남구  청담2동
